Tempo decorrido,E[N],E[W],Lambda,Erro Little
10.00,1.6370149268,0.7795309175,2.1000000000,0.00000000000000199840
20.00,2.9172534179,1.5353965357,1.9000000000,0.00000000000000044409
30.00,2.2205528365,1.3878455228,1.6000000000,0.00000000000000044409
40.00,2.0066746208,1.2541716380,1.6000000000,-0.00000000000000621725
50.00,2.0227074256,1.2485848306,1.6200000000,-0.00000000000000577316
60.00,2.1782610565,1.2329779565,1.7666666667,-0.00000000000002131628
70.00,2.5098612923,1.4519858716,1.7285714286,-0.00000000000001110223
80.00,2.7018466094,1.4906739914,1.8125000000,-0.00000000000000710543
90.00,3.0011111265,1.6173652778,1.8555555556,-0.00000000000001865175
100.00,3.0256583384,1.6266980314,1.8600000000,-0.00000000000002042810
110.00,2.9601730066,1.5961717193,1.8545454545,-0.00000000000004130030
120.00,2.8253935261,1.5136036747,1.8666666667,-0.00000000000001021405
130.00,2.7230206446,1.4749695158,1.8461538462,0.00000000000004618528
140.00,3.0763108957,1.6313769901,1.8857142857,0.00000000000007105427
150.00,3.2742488994,1.7172634088,1.9066666667,0.00000000000009547918
160.00,3.1628109097,1.6646373209,1.9000000000,0.00000000000009858780
170.00,3.0706858201,1.6012778816,1.9176470588,0.00000000000004796163
180.00,3.3025297935,1.6698184349,1.9777777778,0.00000000000004130030
190.00,3.4526797341,1.7874908705,1.9315789474,0.00000000000004751755
200.00,3.4322579356,1.7511520080,1.9600000000,0.00000000000001953993
210.00,3.3699589820,1.7473861388,1.9285714286,-0.00000000000009947598
220.00,3.3117333043,1.7224144845,1.9227272727,-0.00000000000010125234
230.00,3.5006307758,1.8093147830,1.9347826087,-0.00000000000009858780
240.00,3.4371224941,1.7932813013,1.9166666667,-0.00000000000019184654
250.00,3.4060086281,1.7629444245,1.9320000000,-0.00000000000024069635
260.00,3.2897718872,1.7279609912,1.9038461538,-0.00000000000025268676
270.00,3.2103930367,1.6798568215,1.9111111111,-0.00000000000040678572
280.00,3.1447319655,1.6427704297,1.9142857143,-0.00000000000050759397
290.00,3.1234852079,1.6032047970,1.9482758621,-0.00000000000041389114
300.00,3.1906809531,1.6334544128,1.9533333333,-0.00000000000022692959
310.00,3.1645620801,1.6108608290,1.9645161290,-0.00000000000023625546
320.00,3.1695707275,1.6176437525,1.9593750000,-0.00000000000018252067
330.00,3.0897456471,1.5808000985,1.9545454545,-0.00000000000020561330
340.00,3.0647796092,1.5764373179,1.9441176471,-0.00000000000025268676
350.00,3.1211663436,1.5947565259,1.9571428571,-0.00000000000030020431
360.00,3.1020092407,1.5862547254,1.9555555556,-0.00000000000046140869
370.00,3.1031136375,1.5728110217,1.9729729730,-0.00000000000034106051
380.00,3.1036898222,1.5746356909,1.9710526316,-0.00000000000044364512
390.00,3.1702462173,1.6077971713,1.9717948718,-0.00000000000036193271
400.00,3.1737811594,1.6151558063,1.9650000000,-0.00000000000032773784
410.00,3.1327443450,1.5876701872,1.9731707317,-0.00000000000014610535
420.00,3.1592683163,1.6064076185,1.9666666667,0.00000000000022604141
430.00,3.2179336339,1.6202710335,1.9860465116,0.00000000000014477308
440.00,3.2639261957,1.6621846367,1.9636363636,0.00000000000014388490
450.00,3.3033004726,1.6664632429,1.9822222222,0.00000000000003996803
460.00,3.4756602310,1.7492381907,1.9869565217,-0.00000000000018385293
