Tempo decorrido,E[N],E[W],Lambda,Erro Little
10.00,1.2129691607,0.8664065433,1.4000000000,0.00000000000000022204
20.00,1.4723710744,0.9499168222,1.5500000000,-0.00000000000000066613
30.00,1.2427977498,0.8670681976,1.4333333333,-0.00000000000000510703
40.00,1.0676415101,0.7238247526,1.4750000000,-0.00000000000001221245
50.00,1.2278432506,0.7674020317,1.6000000000,-0.00000000000001132427
60.00,1.3435399780,0.8397124863,1.6000000000,-0.00000000000000666134
70.00,1.8154981956,1.0248780136,1.7714285714,0.00000000000000555112
80.00,3.0414045461,1.6896691923,1.8000000000,0.00000000000001687539
90.00,4.1026476473,2.2110077141,1.8555555556,0.00000000000001154632
100.00,4.7630132988,2.5746017831,1.8500000000,0.00000000000002398082
110.00,5.4312522671,2.8181025914,1.9272727273,-0.00000000000000266454
120.00,6.0784889721,3.2709357698,1.8583333333,-0.00000000000001776357
130.00,6.7702510267,3.6369117085,1.8615384615,0.00000000000002575717
140.00,7.0860299279,3.7155213105,1.9071428571,0.00000000000007460699
150.00,7.6489403573,4.0830642477,1.8733333333,0.00000000000007194245
160.00,7.6333914890,4.0175744679,1.9000000000,0.00000000000000888178
170.00,7.5652605550,4.0316435560,1.8764705882,0.00000000000008881784
180.00,7.7621388304,4.0033953853,1.9388888889,0.00000000000003108624
190.00,8.4601389118,4.3799084285,1.9315789474,0.00000000000005151435
200.00,9.2483496293,4.6827086731,1.9750000000,-0.00000000000006217249
210.00,10.3901553952,5.1827378456,2.0047619048,-0.00000000000012967405
220.00,10.9918697714,5.5977114577,1.9636363636,-0.00000000000010302870
230.00,11.3296438641,5.7650842671,1.9652173913,-0.00000000000015631940
240.00,11.6788857456,5.9009106925,1.9791666667,-0.00000000000011013412
250.00,11.9753047066,6.0726697295,1.9720000000,-0.00000000000006394885
260.00,12.2350266039,6.2009881423,1.9730769231,-0.00000000000001243450
270.00,12.6290937564,6.3028748877,2.0037037037,-0.00000000000001243450
280.00,13.0479058604,6.4547944186,2.0214285714,-0.00000000000011013412
290.00,13.5036907529,6.6486762620,2.0310344828,-0.00000000000020783375
300.00,13.8401463707,6.8515576093,2.0200000000,0.00000000000002309264
310.00,14.0378815451,7.0416557913,1.9935483871,-0.00000000000006750156
320.00,14.3201078803,7.1600539402,2.0000000000,-0.00000000000009414691
330.00,14.7185660936,7.2820491918,2.0212121212,-0.00000000000015631940
340.00,15.2755112171,7.5161704976,2.0323529412,-0.00000000000014033219
350.00,15.9150012061,7.9348296612,2.0057142857,-0.00000000000026112446
360.00,16.4496108613,8.2592188425,1.9916666667,-0.00000000000029842795
370.00,17.0359602532,8.4950206114,2.0054054054,-0.00000000000015987212
380.00,17.8182444166,8.8624775894,2.0105263158,-0.00000000000012789769
390.00,18.6253134457,9.2415677402,2.0153846154,-0.00000000000008526513
400.00,19.5294736794,9.6680562769,2.0200000000,0.00000000000004973799
410.00,20.3729335993,10.1740594101,2.0024390244,-0.00000000000001776357
420.00,21.0892373892,10.5320805035,2.0023809524,-0.00000000000021671553
430.00,21.6121334607,10.8312556971,1.9953488372,0.00000000000003907985
440.00,21.9959799348,11.1244036452,1.9772727273,0.00000000000009592327
450.00,22.2287288584,11.2518874986,1.9755555556,0.00000000000001421085
460.00,22.4377108294,11.3546171414,1.9760869565,-0.00000000000002842171
470.00,22.6691069510,11.4564303946,1.9787234043,-0.00000000000006039613
480.00,22.9390884894,11.5780888275,1.9812500000,0.00000000000011013412
490.00,23.2748494239,11.7091131599,1.9877551020,0.00000000000008171241
500.00,23.7472915307,11.9814790771,1.9820000000,0.00000000000008881784
510.00,24.3557761997,12.2984612494,1.9803921569,0.00000000000012789769
520.00,24.8811989413,12.5613819898,1.9807692308,0.00000000000019895197
530.00,25.4569988647,12.8619727343,1.9792452830,0.00000000000018829382
540.00,26.0560962350,13.1375275134,1.9833333333,0.00000000000048316906
550.00,26.5760683125,13.3487101113,1.9909090909,0.00000000000039435122
560.00,27.2365774312,13.7039383301,1.9875000000,0.00000000000072475359
570.00,27.8986779195,14.0603416570,1.9842105263,0.00000000000058975047
580.00,28.5342768054,14.3289009066,1.9913793103,0.00000000000036237680
590.00,29.1905815864,14.7074663843,1.9847457627,0.00000000000040145665
600.00,29.8537275970,14.9642744847,1.9950000000,0.00000000000023803182
610.00,30.5619121101,15.3818204515,1.9868852459,0.00000000000020250468
620.00,31.1495288841,15.6125367083,1.9951612903,0.00000000000002842171
630.00,31.7529683307,15.8638937735,2.0015873016,0.00000000000022382096
640.00,32.5333869611,16.1656581173,2.0125000000,0.00000000000016342483
